id,Product_id,Attribute_name,Attribute_value,created_at,updated_at
1,31,Sound Isolating,Yes/No,21/01/2020 15:28,21/01/2020 15:28
2,31,Color Category,White/Black,21/01/2020 15:28,21/01/2020 15:28
3,31,Built-In Microphone,No,21/01/2020 15:28,21/01/2020 15:28
4,31,Cord Length,394 feet,21/01/2020 15:28,21/01/2020 15:28
5,31,Minimum Frequency Response,20 hertz,21/01/2020 15:28,21/01/2020 15:28
6,32,Water Resistant,Yes,21/01/2020 15:28,21/01/2020 15:28
7,32,Connection Type,Wired,21/01/2020 15:28,21/01/2020 15:28
8,32,Manufacturers Warranty - Labor,1 year,21/01/2020 15:28,21/01/2020 15:28
9,32,Ear Cushions,Yes,21/01/2020 15:28,21/01/2020 15:28
10,32,Sensitivity,103 decibels adjusted,21/01/2020 15:28,21/01/2020 15:28
