id,Category_code,Category_name,PIM_Category_ID,isTopNav,Parent_ID,Level,created_at,updated_at
1,Root,Root,cat00000,0,0,0,NULL,NULL
2,abcat0100000,TV & Home Theater,abcat0100000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
3,abcat0200000,Audio,abcat0200000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
4,abcat0300000,Car Electronics & GPS,abcat0300000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
5,abcat0400000,Cameras & Camcorders,abcat0400000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
6,abcat0500000,Computers & Tablets,abcat0500000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
10,abcat0800000,Cell Phones,abcat0800000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
11,pcmcat312300050015,"Home, Garage & Office",pcmcat312300050015,0,1,1,24/09/2018 15:32,24/09/2018 15:32
12,abcat0900000,Appliances,abcat0900000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
13,pcmcat242800050021,"Health, Fitness & Beauty",pcmcat242800050021,0,1,1,24/09/2018 15:32,24/09/2018 15:32
14,pcmcat332000050000,Wearable Technology,pcmcat332000050000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
15,pcmcat252700050006,"Drones, Toys & Collectibles",pcmcat252700050006,0,1,1,24/09/2018 15:32,24/09/2018 15:32
16,abcat0207000,Musical Instruments,abcat0207000,0,1,1,24/09/2018 15:32,24/09/2018 15:32
22,pcmcat144600050035,Electronics,pcmcat144600050035,0,1,1,24/09/2018 15:32,24/09/2018 15:32
43,abcat0101000,TVs,abcat0101000,0,2,2,24/09/2018 15:34,24/09/2018 15:34
44,abcat0103000,Smart TVs & Devices,abcat0103000,0,2,2,24/09/2018 15:34,24/09/2018 15:34
45,pcmcat158900050008,Projectors & Screens,pcmcat158900050008,0,2,2,24/09/2018 15:34,24/09/2018 15:34
46,abcat0106000,"TV Stands, Mounts & Furniture",abcat0106000,0,2,2,24/09/2018 15:34,24/09/2018 15:34
